0:0:0:0:0:0:0:1 - - [25/Mar/2016:13:14:03 +0800] "GET /axis2 HTTP/1.1" 302 -
127.0.0.1 - - [25/Mar/2016:14:34:09 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:34:09 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:34:09 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:34:09 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:34:09 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:34:09 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:34:09 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:34:09 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:34:09 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:34:09 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:34:09 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:34:09 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:34:10 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:34:10 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:34:10 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
127.0.0.1 - - [25/Mar/2016:14:34:10 +0800] "POST /axis2/services/GetAssessmentResult.GetAssessmentResultHttpSoap11Endpoint/ HTTP/1.1" 200 293
